id,stage,stage_title,item,owner,state,gate,note,reply,choices,unit
A1,A,Decide - Camden's calls,"Fill in SPEC.md - any, some or all of it; blank takes the default",camden,done,,"D-399, D-400. Filled in 2026-09-24 (on Notion, then in SPEC.md); applied as D-403 to D-407",,,
B1,B,Groundwork in rx7.py - the agent,"A JSON output from rx7.py for everything the GUI shows: status, blocks, picks, work, decisions",agent,done,B0,"rx7.py export (B0, D-405): the JSON both apps read",,,
B2,B,Groundwork in rx7.py - the agent,"A safe writer for his answers: put text under a block's SOLVE line or a pick's ANSWER line, back up first, refuse if the file changed underneath",agent,done,B0,"rx7.py answer (B0, D-405): writes data/inbox/<target>~<device>.csv whole or not at all; the phone runs the same function in Pyodide",,,
C1,C,Design - screens before code,"The jobs list, then the screen list and the flows between screens",agent,done,,"screens table brought to the built app, 2026-09-25 (D-406)",,,
C2,C,Design - screens before code,"Wireframes, the Blocks screen first",agent,dropped,C1,"Built as real screens instead: on 2026-09-25 he asked the agent to design, build, test, review and dial in both apps on its own, then pitch the design in README.md",,,
C3,C,Design - screens before code,Read the pitch in 02-PROJECTS/10-gui/README.md and say what to change,camden,done,C2,"taste - his call; answer here with Done, or say what to change",,,
C4,C,Design - screens before code,"The visual design: type, colours in light and dark, spacing, the reusable pieces",agent,done,C3,"D-404 applied: dark only, his five colours as tokens in src/app.css, Inter and JetBrains Mono",,,
D1,D,Build - the first vertical slice,"The Blocks screen end to end: backend, interface, reading and saving through B1 and B2",agent,done,B1 B2 C4,"Blocks list and focus pages, desktop and phone; e2e/app.spec.ts and phone.spec.ts",,,
D2,D,Build - the first vertical slice,The Claude buttons on the Blocks screen: Explain and Discuss,agent,done,D1,"Explain and Discuss on the block page, headless Claude Code on the desktop (src-tauri/src/desktop/claude.rs)",,,
D3,D,Build - the first vertical slice,Answer one real block through the GUI and say what worked,camden,open,D2 F1,README step 8,,,
E1,E,Then the rest,"The remaining screens (Home, Picks, TODO, Decisions, Run), one work row each, opened after D3",agent,done,D2,"Home, Manual (placeholder until M1), Projects, New project, Picks, TODO, Decisions, Parts, Run, Search, Settings; the launcher entry moved to F1",,,
A2,A,Decide - Camden's calls,"Apply what he wrote in SPEC.md: each answer into a decision or a row, then remove it from the page",agent,done,,"D-400, D-402. Done 2026-09-24: his Notion answers copied verbatim into SPEC.md (commit 93222d1), the rest typed there (df1df53); every answer is in D-403 to D-407, checked word for word, and SPEC.md is deleted (D-405)",,,
B0,B,Groundwork in rx7.py - the agent,"Retire the Markdown pages (D-405): blocks, inbox and decision bodies become tables; BLOCKS.md, PICKS.md, the TODO files, DECISIONS.md and SPEC.md are carried into the record and deleted; CLAUDE.md rewritten to match",agent,done,,11.2. Done 2026-09-24: every open block field and every decision body carried and proved byte for byte by script before any page was deleted,,,
M1,M,The Manual - planned together,"Plan the Manual with the agent: go through your brief in D-407 (4.1 to 5.13), starting with 4.5 (a 00-verify project and renumbering) and 5.6/5.7 (no history in the Manual)",camden,done,,D-407; planned in chat 2026-09-24 and ruled by D-417,,,
F1,F,Install,"Install the desktop app with a launcher entry, and build the release APK for his Galaxy (arm64)",agent,done,C3,"app/README.md has the steps. Done 2026-09-25: the RPM installed (Rx7 in the application menu, /usr/bin/rx7); the phone build is the debug APK the README calls enough for one phone - a release APK needs a signing key first",,,
F2,F,Install,Install Rx7 on your Galaxy phone and paste your GitHub key in Settings,camden,open,F1,"app/README.md, 'On the phone'. The APK is built: plug the Galaxy in with USB debugging on and say so, or run adb install -r 02-PROJECTS/10-gui/app/src-tauri/gen/android/app/build/outputs/apk/universal/debug/app-universal-debug.apk",,,
MA1,MA,"The Manual - M-a: the spine, Car state, Specs, Service","The spine in 00-CAR: systems (replacing the old per-system table), zones, parts (the changes-from-factory list folded in), drives; specs tied to a system and a part, and marked when they are another year's figure or for a part not on the car",agent,done,D-417,D-417,,,
MA2,MA,"The Manual - M-a: the spine, Car state, Specs, Service","rx7.py: the Manual in export (what is shown, what is held back and why, the odometer, what is due) and the drive answer (Log drive, Set odo), with selftests",agent,done,MA1,D-417,,,
MA3,MA,"The Manual - M-a: the spine, Car state, Specs, Service","The app: the Manual's home (Car state), Specs and Service screens, and the Log drive / Set odo buttons",agent,done,MA2,D-417,,,
MA4,MA,"The Manual - M-a: the spine, Car state, Specs, Service",Read the odometer and press Set odo in the Manual,camden,open,MA3 F1,D-417. The first real reading: the Manual's mileage is 153000 of unknown date until then,,,
MB1,MB,"The Manual - M-b: Systems, part pages, popups","Systems view, a page for each part, and a preview popup on every part name",agent,done,MA3,D-417,,,
MC1,MC,The Manual - M-c: Ask from a selection,Select any words in the Manual and ask Claude about exactly them,agent,done,MB1,D-417,,,
MD1,MD,The Manual - M-d: Diagrams and The car,"Diagrams grouped by system, and The car: the zones on the 3D renders, each opening its parts",agent,done,MB1,D-417,,,
ME1,ME,The Manual - M-e: saved queries,"Computed answers saved as presets (e.g. total 12 AWG end to end), once the harness folds into 00-CAR",agent,open,MC1 00-electrical:E35,"D-417. Most of the questions he gave (4.2) are about the new harness, which reaches 00-CAR only when it is in the car",,,
