id,date,workflow,ids,summary
L-0001,2026-09-24,session,D-399,"10-gui opened (D-399): area, README with the GUI process outline and first plan, work rows A1-E1; CLAUDE.md §9 names it"
L-0002,2026-09-24,session,D-400,"D-400: SPEC.md spec sheet written (13 sections, every question with a default); ideas table (I-001-I-013) and screens table (14 screens) started; A1 now fill in SPEC.md, A2 added; CLAUDE.md §2 and R3 name SPEC.md"
L-0003,2026-09-24,session,D-402,D-402: Notion copy of SPEC.md for answering remotely; answers copied verbatim into SPEC.md when he is ready; I-014; A2 note; CLAUDE.md §2
L-0004,2026-09-24,answers,A1 A2 D-402,"SPEC.md: copied his 37 Notion answers verbatim (sections 1-5), not yet applied"
L-0005,2026-09-24,answers,D-403 D-404 D-405 D-406 D-407 A1 A2 B0 M1,"SPEC.md applied: D-403 platform, D-404 look, D-405 the app replaces the Markdown pages, D-406 screens and answering, D-407 the Manual parked with his brief; every answer checked word for word, SPEC.md deleted; A1 A2 done; B0 and M1 new"
L-0006,2026-09-24,session,D-405 B0,"B0: the Markdown pages retired (D-405). rx7.py gains blocks and inbox tables (inbox one file per answer), decisions.body, work.reply/choices/unit, export, answer, inbox; loses decisions, todo and the page parsers. The 5 open blocks and 279 decision bodies carried and proved byte for byte; BLOCKS.md, DECISIONS.md, 5 TODO files, PICKS.md and 4 empty READMEs deleted; CLAUDE.md, README.md, .gitignore, the hook and CI brought to it"
L-0007,2026-09-24,session,B1 B2 C1 C2 C3 C4 D1 D2 E1 F1 F2 I-015 I-016,"Both apps reviewed and dialled in (phone tabs and header, desktop overflow, parts table, stage labels, test permission out of release builds), APK re-tested on the emulator; README.md rewritten as the pitch, app/README.md written; screens table brought to the app; B1 B2 C1 C4 D1 D2 E1 done, C2 dropped, C3 now reads the pitch, F1 F2 install rows added; ideas I-015 I-016"
L-0008,2026-09-24,session,C3 F1,"C3 done: Camden read the pitch in README.md and kept it as written, no changes; F1 (install) is now ready"
L-0009,2026-09-24,session,D-417 10.01 M1 MA1 MA2 MA3 MA4 MB1 MC1 MD1 ME1,The Manual planned in chat and ruled (D-417); block 10.01 raised on where unverified facts wait; work MA1-ME1 opened
L-0010,2026-09-24,session,MA1 D-417,"MA1: the Manual's spine in 00-CAR - systems, zones, 57 parts, drives; specs tied to system and part and marked when not this car's now; as_fitted and mods folded in and retired; vehicle is identity only"
L-0011,2026-09-24,session,MA2 D-417,"MA2: export computes the Manual (shown, held back with the reason, odometer, due); kind=drive answers; 23 new selftests"
L-0012,2026-09-25,session,MA3 D-417,"MA3: the Manual's Car state, Specs and Service screens, Log drive / Set odo; the drive dialog centred on the phone; e2e block tests read open blocks from the fixture"
L-0013,2026-09-25,session,MB1 D-417,"MB1: the Manual's Systems view and system pages, a page for each part, and a preview card on every part name; unit pairs read 100 hp @ 6000 rpm"
L-0014,2026-09-25,session,MC1 D-417,MC1: select any words in the Manual and Ask about this opens the chat with a question about exactly them (desktop)
L-0015,2026-09-25,session,MD1 D-417,"MD1: the Manual's Diagrams (factory circuits by system, each write-up in full) and The car (zones drawn on the renders, each opening its parts); circuits table in 01-REFERENCE"
L-0016,2026-09-25,session,F1,F1: desktop RPM built and installed with its launcher entry; arm64 debug APK built; bundle targets RPM only (the AppImage step failed and nothing uses it)
L-0017,2026-09-25,session,NT1 D-426,"NT1: Note beside Ask on any selection in the Manual; notes kept in 00-CAR's inbox as kind=note, never applied; Notes page"
L-0018,2026-09-25,answers,D-427 10.01,"Block 10.01 ruled (a): 00-verify opened, projects 00-03 moved up one number, open blocks renumbered, closed-block gates moved to their decisions (D-427)"
L-0019,2026-09-25,answers,D3,"Applied his work answer: D3 done (the first real block, 10.01, answered through the GUI)"
L-0020,2026-09-25,session,D-429,Part pages show layers (Part of / Inside it); systems list their top-level units
L-0021,2026-09-26,session,P01,"Audit plan of 2026-09-26 recorded as work rows P01-P54, gated in order; P01 done"
